reply_id,measured_at,hours_since,views,likes,replies,reposts,quotes
18010602728930247,2026-07-30T06:31,18,57,3,0,0,0
17931213393124732,2026-07-30T06:31,21,39,0,0,0,0
17983014069028188,2026-07-30T06:31,24,71,0,0,0,0
18089446199418284,2026-07-30T06:31,38,249,2,0,0,0
18027814517665223,2026-07-30T06:31,38,95,0,0,0,0
18091042901115559,2026-07-30T06:31,46,97,1,0,0,0
17886816261437503,2026-07-30T06:31,49,93,1,0,0,0
18057203258774297,2026-07-30T06:31,50,221,6,0,0,0
17874632259623976,2026-07-30T06:31,63,269,2,0,0,0
17870667738567263,2026-07-30T06:31,64,28,1,0,0,0
17937437727323949,2026-07-30T06:31,64,653,6,0,0,0
17982872289045150,2026-07-30T06:31,64,139,0,0,0,0
17871551466652223,2026-07-30T06:31,64,218,1,0,0,0
18119316691662076,2026-07-30T06:31,65,128,0,0,0,0
18414096832151574,2026-07-30T07:01,15,7,0,0,0,0
18126517726737860,2026-07-30T07:01,15,66,5,0,0,0
18113460451862861,2026-07-30T07:01,15,13,0,0,0,0
18010602728930247,2026-07-30T07:01,18,57,3,0,0,0
17931213393124732,2026-07-30T07:01,21,39,0,0,0,0
17983014069028188,2026-07-30T07:01,24,71,0,0,0,0
18089446199418284,2026-07-30T07:01,38,249,2,0,0,0
18027814517665223,2026-07-30T07:01,39,95,0,0,0,0
18091042901115559,2026-07-30T07:01,46,97,1,0,0,0
17886816261437503,2026-07-30T07:01,49,93,1,0,0,0
18057203258774297,2026-07-30T07:01,50,221,6,0,0,0
17874632259623976,2026-07-30T07:01,64,269,2,0,0,0
17870667738567263,2026-07-30T07:01,64,28,1,0,0,0
17937437727323949,2026-07-30T07:01,64,653,6,0,0,0
17982872289045150,2026-07-30T07:01,64,139,0,0,0,0
17871551466652223,2026-07-30T07:01,65,218,1,0,0,0
18119316691662076,2026-07-30T07:01,65,128,0,0,0,0
18414096832151574,2026-07-30T07:31,15,7,0,0,0,0
18126517726737860,2026-07-30T07:31,15,66,5,0,0,0
18113460451862861,2026-07-30T07:31,16,13,0,0,0,0
18010602728930247,2026-07-30T07:31,19,57,3,0,0,0
17931213393124732,2026-07-30T07:31,22,39,0,0,0,0
17983014069028188,2026-07-30T07:31,25,71,0,0,0,0
18089446199418284,2026-07-30T07:31,39,249,2,0,0,0
18027814517665223,2026-07-30T07:31,39,95,0,0,0,0
18091042901115559,2026-07-30T07:31,47,97,1,0,0,0
17886816261437503,2026-07-30T07:31,50,93,1,0,0,0
18057203258774297,2026-07-30T07:31,51,221,6,0,0,0
17874632259623976,2026-07-30T07:31,65,270,2,0,0,0
17870667738567263,2026-07-30T07:31,65,28,1,0,0,0
17937437727323949,2026-07-30T07:31,65,654,6,0,0,0
17982872289045150,2026-07-30T07:31,65,139,0,0,0,0
17871551466652223,2026-07-30T07:31,65,218,1,0,0,0
18119316691662076,2026-07-30T07:31,66,128,0,0,0,0
18414096832151574,2026-07-30T08:01,16,7,0,0,0,0
18126517726737860,2026-07-30T08:01,16,67,5,0,0,0
18113460451862861,2026-07-30T08:01,16,13,0,0,0,0
18010602728930247,2026-07-30T08:01,19,57,3,0,0,0
17931213393124732,2026-07-30T08:01,22,39,0,0,0,0
17983014069028188,2026-07-30T08:01,25,71,0,0,0,0
18089446199418284,2026-07-30T08:01,39,249,2,0,0,0
18027814517665223,2026-07-30T08:01,40,95,0,0,0,0
18091042901115559,2026-07-30T08:01,47,97,1,0,0,0
17886816261437503,2026-07-30T08:01,50,93,1,0,0,0
18057203258774297,2026-07-30T08:01,51,221,6,0,0,0
17874632259623976,2026-07-30T08:01,65,271,2,0,0,0
17870667738567263,2026-07-30T08:01,65,28,1,0,0,0
17937437727323949,2026-07-30T08:01,65,655,6,0,0,0
17982872289045150,2026-07-30T08:01,65,139,0,0,0,0
17871551466652223,2026-07-30T08:01,66,219,1,0,0,0
18119316691662076,2026-07-30T08:01,66,128,0,0,0,0
18414096832151574,2026-07-30T08:31,16,7,0,0,0,0
18126517726737860,2026-07-30T08:31,16,69,5,0,0,0
18113460451862861,2026-07-30T08:31,17,13,0,0,0,0
18010602728930247,2026-07-30T08:31,20,57,3,0,0,0
17931213393124732,2026-07-30T08:31,23,39,0,0,0,0
17983014069028188,2026-07-30T08:31,26,71,0,0,0,0
18089446199418284,2026-07-30T08:31,40,249,2,0,0,0
18027814517665223,2026-07-30T08:31,40,95,0,0,0,0
18091042901115559,2026-07-30T08:31,48,97,1,0,0,0
17886816261437503,2026-07-30T08:31,51,93,1,0,0,0
18057203258774297,2026-07-30T08:31,52,221,6,0,0,0
17874632259623976,2026-07-30T08:31,65,271,2,0,0,0
17870667738567263,2026-07-30T08:31,66,28,1,0,0,0
17937437727323949,2026-07-30T08:31,66,655,6,0,0,0
17982872289045150,2026-07-30T08:31,66,139,0,0,0,0
17871551466652223,2026-07-30T08:31,66,219,1,0,0,0
18119316691662076,2026-07-30T08:31,67,128,0,0,0,0
18414096832151574,2026-07-30T09:01,17,7,0,0,0,0
18126517726737860,2026-07-30T09:01,17,69,5,0,0,0
18113460451862861,2026-07-30T09:01,17,13,0,0,0,0
18010602728930247,2026-07-30T09:01,20,58,3,0,0,0
17931213393124732,2026-07-30T09:01,23,39,0,0,0,0
17983014069028188,2026-07-30T09:01,26,71,0,0,0,0
18089446199418284,2026-07-30T09:01,40,249,2,0,0,0
18027814517665223,2026-07-30T09:01,41,95,0,0,0,0
18091042901115559,2026-07-30T09:01,48,97,1,0,0,0
17886816261437503,2026-07-30T09:01,51,93,1,0,0,0
18057203258774297,2026-07-30T09:01,52,221,6,0,0,0
17874632259623976,2026-07-30T09:01,66,271,2,0,0,0
17870667738567263,2026-07-30T09:01,66,28,1,0,0,0
17937437727323949,2026-07-30T09:01,66,655,6,0,0,0
17982872289045150,2026-07-30T09:01,66,139,0,0,0,0
17871551466652223,2026-07-30T09:01,67,219,1,0,0,0
18119316691662076,2026-07-30T09:01,67,128,0,0,0,0
18414096832151574,2026-07-30T09:31,17,7,0,0,0,0
18126517726737860,2026-07-30T09:31,17,69,5,0,0,0
